Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
UCA1	2213.179261	-1.744851843	0.375300552	-4.649212033	3.33E-06	0.001936247
AMIGO2	92.38135242	-1.758983365	0.517561459	-3.398598048	0.000677322	0.093855961
LYAR	130.1323688	-1.77122211	0.486498737	-3.640753765	0.000271841	0.054863918
STOM	57.88968651	-1.787156618	0.508083044	-3.517449836	0.000435715	0.072008849
PRSS22	144.1250702	-1.802562866	0.413655557	-4.35764209	1.31E-05	0.006072619
KIF20B	197.5979057	-1.812826845	0.415802968	-4.3598218	1.30E-05	0.006072619
ALDOC	229.7604017	-1.940397913	0.447555301	-4.335548946	1.45E-05	0.006236139
GPX3	222.8227747	-2.000692651	0.546424669	-3.661424466	0.000250817	0.052537373
ANKRD10	216.936336	-2.005203531	0.511244029	-3.922204305	8.77E-05	0.024501138
SPIN4	65.24461658	-2.045659587	0.502045694	-4.074648209	4.61E-05	0.014564147
RNF186	112.81924	-2.081809755	0.521710801	-3.990352032	6.60E-05	0.019483263
CACNB3	47.3969757	-2.084694768	0.591854367	-3.522310356	0.000427803	0.071735825
DHRS9	115.7655982	-2.157614987	0.530382191	-4.068038152	4.74E-05	0.014725085
CNNM1	96.8265032	-2.194911192	0.53221452	-4.124109942	3.72E-05	0.012504986
BRCA1	91.61657909	-2.195966186	0.608398001	-3.60942374	0.000306878	0.058948592
TFF1	5018.769092	-2.213642173	0.296766832	-7.459196692	8.71E-14	1.06E-09
TFF2	4799.870915	-2.257098415	0.32703101	-6.901787116	5.14E-12	3.08E-08
LINC01559	477.8520798	-2.41886061	0.380675986	-6.354119246	2.10E-10	7.55E-07
PLK1	97.56904418	-2.566932048	0.68578377	-3.743063283	0.00018179	0.039936252
SERPINE2	45.67901968	-2.578505832	0.742126184	-3.474484377	0.000511836	0.077480813
FFAR4	50.30052912	-2.59917604	0.712014835	-3.650452084	0.000261779	0.053975945
SLC6A8	270.9170569	-2.654698253	0.486598534	-5.4556232	4.88E-08	8.79E-05
SLC11A2	564.9755119	-2.688519165	0.36235258	-7.419621967	1.17E-13	1.06E-09
HLA-G	93.58651497	-2.69925686	0.766314897	-3.522385994	0.000427681	0.071735825
HPDL	62.60279753	-2.720839351	0.688755592	-3.950369888	7.80E-05	0.022671638
USP37	59.99166806	-2.944823421	0.864708271	-3.4055687	0.000660264	0.093855961
VSIG1	32.4413863	-2.996436284	0.77812991	-3.850817512	0.000117724	0.029032899
CHAMP1	45.53934672	-3.055314145	0.847134338	-3.606646561	0.00031018	0.058948592
DUOX2	336.5000306	-3.082301198	0.861387562	-3.578297777	0.000345839	0.062299492
FER1L4	259.9425282	-3.119438673	0.530774032	-5.877150137	4.17E-09	1.07E-05
SYNPR	159.8326742	-3.191081151	0.595107405	-5.362193653	8.22E-08	0.000123422
APOC3	49.63604576	-3.282757038	0.60506642	-5.42544906	5.78E-08	9.47E-05
FAM109B	34.91259741	-3.556291653	1.006848546	-3.532101889	0.00041227	0.071735825
CA9	209.4898753	-7.835988309	1.532643275	-5.11272808	3.18E-07	0.00033648
